ICD-O Code	Level	Term Type	Term type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT String (Preferred term)
C70.0	Related	RT	Related term	Falx cerebri	C0228120	C12890	Falx Cerebri
C70.0	Related	RT	Related term	Falx, NOS	CL018590		
C70.0	Related	RT	Related term	Intracranial arachnoid	C0228127		
C70.0	Related	RT	Related term	Intracranial meninges	CL018591		
C70.0	Related	RT	Related term	Tentorium cerebelli	C0228121	C33749	Tentorium Cerebelli
C70.0	Synonym	SY	Synonym	Tentorium, NOS	C0228121	C33749	Tentorium Cerebelli
C70.1	4	PT	Preferred term	Spinal meninges	C0037938	C12350	Spinal Meninges
C70.1	Related	RT	Related term	Spinal arachnoid	C0228128		
C70.1	Related	RT	Related term	Spinal dura mater	C0228124	C49799	Spinal Cord Dura Mater
C70.1	Related	RT	Related term	Spinal pia mater	C0228132		
C70.9	4	PT	Preferred term	Meninges, NOS	C0025285	C12348	Meninges
C70.9	Related	RT	Related term	Arachnoid, NOS	C0003707		
C70.9	Related	RT	Related term	Dura mater, NOS	C0013313	C32488	Dura Mater
C70.9	Related	RT	Related term	Dura, NOS	C0013313	C32488	Dura Mater
C70.9	Related	RT	Related term	Pia mater, NOS	C0031869	C33321	Pia Mater
C71	3	HT	Hierarchical term	BRAIN	C0006104	C12439	Brain
C71.0	4	PT	Preferred term	Cerebrum	C0242202		
C71.0	Related	RT	Related term	Basal ganglia	C0004781	C12447	Basal Ganglia
C71.0	Related	RT	Related term	Central white matter	CL018593		
C71.0	Related	RT	Related term	Cerebral cortex	C0007776	C12443	Cerebral Cortex
C71.0	Related	RT	Related term	Cerebral hemisphere	C0228174	C12351	Cerebral Hemisphere
C71.0	Related	RT	Related term	Cerebral white matter	C0152295	C49347	Cerebral White Matter
C71.0	Related	RT	Related term	Corpus striatum	C0010097	C12448	Corpus Striatum
C71.0	Related	RT	Related term	Globus pallidus	C0017651	C12449	Globus Pallidus
C71.0	Related	RT	Related term	Hypothalamus	C0020663	C12458	Hypothalamus
C71.0	Related	RT	Related term	Insula	C0021640		
C71.0	Related	RT	Related term	Internal capsule	C0152341	C13082	Internal Capsule
C71.0	Related	RT	Related term	Island of Reil	C0021640		
C71.0	Related	RT	Related term	Operculum	C0228262		
C71.0	Related	RT	Related term	Pallium	C0007776	C12443	Cerebral Cortex
C71.0	Related	RT	Related term	Putamen	C0034169	C12452	Putamen
C71.0	Related	RT	Related term	Rhinencephalon	C0035454		
C71.0	Related	RT	Related term	Supratentorial brain, NOS	C1522407	C12512	Supratentorial Brain
C71.0	Related	RT	Related term	Thalamus	C0039729	C12459	Thalamus
C71.1	4	PT	Preferred term	Frontal lobe	C0016733	C12352	Frontal Lobe
C71.1	Synonym	SY	Synonym	Frontal pole	C0149546	C126737	Frontal Pole
C71.2	4	PT	Preferred term	Temporal lobe	C0039485	C12353	Temporal Lobe
C71.2	Related	RT	Related term	Hippocampus	C0019564	C12444	Hippocampus
C71.2	Related	RT	Related term	Uncus	C0228252	C33831	Uncus
C71.3	4	PT	Preferred term	Parietal lobe	C0030560	C12354	Parietal Lobe
C71.4	4	PT	Preferred term	Occipital lobe	C0028785	C12355	Occipital Lobe
C71.4	Synonym	SY	Synonym	Occipital pole	C0228217		
C71.5	4	PT	Preferred term	Ventricle, NOS	C0007799	C12356	Brain Ventricle
C71.5	Related	RT	Related term	Cerebral ventricle	C0007799	C12356	Brain Ventricle
C71.5	Related	RT	Related term	Choroid plexus of lateral ventricle	C0152289	C32309	Choroid Plexus of the Lateral Ventricle
C71.5	Related	RT	Related term	Choroid plexus of third ventricle	C0152291	C49782	Choroid Plexus of the Third Ventricle
C71.5	Related	RT	Related term	Choroid plexus, NOS	C0008524	C12694	Choroid Plexus
C71.5	Related	RT	Related term	Ependyma	C0014472	C13078	Ependyma
C71.5	Related	RT	Related term	Lateral ventricle, NOS	C0152279	C12834	Lateral Ventricle
C71.5	Related	RT	Related term	Third ventricle, NOS	C0149555	C12827	Third Ventricle
C71.6	4	PT	Preferred term	Cerebellum, NOS	C0007765	C12445	Cerebellum
C71.6	Related	RT	Related term	Cerebellopontine angle	C0007764	C54057	Cerebellopontine Angle
C71.6	Related	RT	Related term	Vermis of cerebellum	C0228482	C33866	Vermis
C71.7	4	PT	Preferred term	Brain stem	C0006121	C12441	Brain Stem
C71.7	Related	RT	Related term	Cerebral peduncle	C0007793	C32291	Cerebral Peduncle
C71.7	Related	RT	Related term	Choroid plexus of fourth ventricle	C0152293	C32308	Choroid Plexus of the Fourth Ventricle
C71.7	Related	RT	Related term	Fourth ventricle, NOS	C0149556	C12828	Fourth Ventricle
C71.7	Related	RT	Related term	Infratentorial brain, NOS	C0228067	C12509	Infratentorial Brain
C71.7	Related	RT	Related term	Medulla oblongata	C0025148	C12442	Medulla Oblongata
C71.7	Related	RT	Related term	Midbrain	C0025462	C12510	Mesencephalon
C71.7	Related	RT	Related term	Olive	C0228539		
C71.7	Related	RT	Related term	Pons	C0032639	C12511	Pons Varolii
C71.7	Related	RT	Related term	Pyramid	C0262324		
C71.7	Synonym	SY	Synonym	Basis pedunculi	C0007793	C32291	Cerebral Peduncle
C71.8	4	PT	Preferred term	Overlapping lesion of brain	CL018595		
C71.8	Related	RT	Related term	Corpus callosum	C0010090	C12446	Corpus Callosum
C71.8	Related	RT	Related term	Tapetum	C0152326		
C71.9	4	PT	Preferred term	Brain, NOS	C0006104	C12439	Brain
C71.9	Related	RT	Related term	Anterior cranial fossa	C0230044	C32090	Anterior Cranial Fossa
C71.9	Related	RT	Related term	Cranial fossa, NOS	C0230042		
C71.9	Related	RT	Related term	Intracranial site	CL018596		
C71.9	Related	RT	Related term	Middle cranial fossa	C0230045	C33117	Middle Cranial Fossa
C71.9	Related	RT	Related term	Posterior cranial fossa	C0010265	C33361	Posterior Cranial Fossa
C71.9	Related	RT	Related term	Suprasellar	C0230054	C42602	Suprasellar Region
C72	3	HT	Hierarchical term	SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM	CL497935		
C72.0	4	PT	Preferred term	Spinal cord	C0037925	C12464	Spinal Cord
C72.0	Related	RT	Related term	Cervical cord	C0457846		
C72.0	Related	RT	Related term	Conus medullaris	C0149601	C12832	Conus Medullaris
C72.0	Related	RT	Related term	Filum terminale	C0016109		
C72.0	Related	RT	Related term	Lumbar cord	C3853029		
C72.0	Related	RT	Related term	Sacral cord	C3852946		
C72.0	Related	RT	Related term	Thoracic cord	C3853028		
C72.1	4	PT	Preferred term	Cauda equina	C0007458	C12689	Cauda Equina
C72.2	4	PT	Preferred term	Olfactory nerve	C0028938	C12759	Olfactory Nerve
C72.3	4	PT	Preferred term	Optic nerve	C0029130	C12761	Optic Nerve
C72.3	Related	RT	Related term	Optic chiasm	C0029126	C90609	Optic Chiasm
C72.3	Related	RT	Related term	Optic tract	C0152405	C33218	Optic Tract
C72.4	4	PT	Preferred term	Acoustic nerve	C0009201	C12697	Cochlear Nerve
C72.5	4	PT	Preferred term	Cranial nerve, NOS	C0010268	C12700	Cranial Nerve
C72.5	Related	RT	Related term	Abducens nerve	C0000741	C12665	Abducens Nerve
C72.5	Related	RT	Related term	Accessory nerve, NOS	C0000905	C32041	Accessory Nerve
C72.5	Related	RT	Related term	Facial nerve	C0015462	C12714	Facial Nerve
C72.5	Related	RT	Related term	Glossopharyngeal nerve	C0017679	C12723	Glossopharyngeal Nerve
C72.5	Related	RT	Related term	Hypoglossal nerve	C0020614	C12732	Hypoglossal Nerve
C72.5	Related	RT	Related term	Oculomotor nerve	C0028864	C12758	Oculomotor Nerve
C72.5	Related	RT	Related term	Trigeminal nerve	C0040996	C12806	Trigeminal Nerve
C72.5	Related	RT	Related term	Trochlear nerve	C0041159	C12808	Trochlear Nerve
C72.5	Related	RT	Related term	Vagus nerve	C0042276	C12812	Vagus Nerve
C72.5	Synonym	SY	Synonym	Spinal accessory nerve	C0000905	C32041	Accessory Nerve
C72.8	4	PT	Preferred term	Overlapping lesion of brain and central nervous system	CL018605		
C72.9	4	PT	Preferred term	Nervous system, NOS	C0027763	C12755	Nervous System
C72.9	Related	RT	Related term	Central nervous system	C3714787	C12438	Central Nervous System
C72.9	Related	RT	Related term	Epidural	C0014537	C41449	Epidural Spinal Canal Space
C72.9	Related	RT	Related term	Extradural	CL078039		
C72.9	Related	RT	Related term	Parasellar	CL018606		
C73-C75	2	HT	Hierarchical term	THYROID AND OTHER ENDOCRINE GLANDS	CL018607		
C73	3	HT	Hierarchical term	THYROID GLAND	C0040132	C12400	Thyroid Gland
C73.9	4	PT	Preferred term	Thyroid gland	C0040132	C12400	Thyroid Gland
C73.9	Related	RT	Related term	Thyroglossal duct	C0231104	C49783	Thyroglossal Duct
C73.9	Synonym	SY	Synonym	Thyroid, NOS	C0040132	C12400	Thyroid Gland
C74	3	HT	Hierarchical term	ADRENAL GLAND	C0001625	C12666	Adrenal Gland
C74.0	4	PT	Preferred term	Cortex of adrenal gland	C0001613	C12396	Adrenal Cortex
C74.1	4	PT	Preferred term	Medulla of adrenal gland	C0001629	C12397	Adrenal Medulla
C74.9	4	PT	Preferred term	Adrenal gland, NOS	C0001625	C12666	Adrenal Gland
C74.9	Synonym	SY	Synonym	Adrenal, NOS	C0001625	C12666	Adrenal Gland
C74.9	Synonym	SY	Synonym	Suprarenal gland	C0001625	C12666	Adrenal Gland
C75	3	HT	Hierarchical term	OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES	CL025599		
C75.0	4	PT	Preferred term	Parathyroid gland	C0030518	C12765	Parathyroid Gland
C75.1	4	PT	Preferred term	Pituitary gland	C0032005	C12399	Pituitary Gland
C75.1	Related	RT	Related term	Pituitary fossa	C0036609	C12497	Sella Turcica
C75.1	Related	RT	Related term	Rathke pouch	C0229548	C34281	Rathke Pouch
C75.1	Related	RT	Related term	Sella turcica	C0036609	C12497	Sella Turcica
C75.1	Synonym	SY	Synonym	Hypophysis	C0032005	C12399	Pituitary Gland
C75.1	Synonym	SY	Synonym	Pituitary, NOS	C0032005	C12399	Pituitary Gland
C75.2	4	PT	Preferred term	Craniopharyngeal duct	C0229549	C12357	Craniopharyngeal Duct
C75.3	4	PT	Preferred term	Pineal gland	C0031939	C12398	Pineal Gland
C75.4	4	PT	Preferred term	Carotid body	C0007277	C66852	Carotid Body
C75.5	4	PT	Preferred term	Aortic body and other paraganglia	CL375688		
C75.5	Related	RT	Related term	Coccygeal body	C0229573		
C75.5	Related	RT	Related term	Coccygeal glomus	C0229573		
C75.5	Related	RT	Related term	Glomus jugulare	C0017670		
C75.5	Related	RT	Related term	Para-aortic body	C0030378		
C75.5	Related	RT	Related term	Paraganglion	C0030419	C94826	Paraganglion
C75.5	Synonym	SY	Synonym	Organ of Zuckerkandl	C0030378		
C75.8	4	PT	Preferred term	Overlapping lesion of endocrine glands and related structures	CL018611		
C75.8	Related	RT	Related term	Multiple endocrine glands	CL018611		
C75.8	Synonym	SY	Synonym	Pluriglandular	CL018611		
C75.9	4	PT	Preferred term	Endocrine gland, NOS	C0014133	C12704	Endocrine Gland
C76	3	HT	Hierarchical term	OTHER AND ILL-DEFINED SITES	CL018612		
C76.0	4	PT	Preferred term	Head, face or neck, NOS	CL018613		
C76.0	Related	RT	Related term	Cervical region, NOS	CL111479		
C76.0	Related	RT	Related term	Cheek, NOS	C0007966	C13070	Cheek
C76.0	Related	RT	Related term	Jaw, NOS	C0022359	C48821	Jaw Bone
C76.0	Related	RT	Related term	Nose, NOS	C0028429	C12756	Nose
C76.0	Related	RT	Related term	Supraclavicular region, NOS	C0446461	C25329	Supraclavicular
C76.1	4	PT	Preferred term	Thorax, NOS	C0817096	C12799	Thorax
C76.1	Related	RT	Related term	Axilla, NOS	C0004454	C12674	Axilla
C76.1	Related	RT	Related term	Chest wall, NOS	C0205076	C62484	Chest Wall
C76.1	Related	RT	Related term	Chest, NOS	C1527391	C25389	Chest
C76.1	Related	RT	Related term	Infraclavicular region, NOS	C0230108	C25268	Infraclavicular Region
C76.1	Related	RT	Related term	Intrathoracic site, NOS	CL018614		
C76.1	Related	RT	Related term	Scapular region, NOS	C0230105		
C76.1	Related	RT	Related term	Thoracic wall, NOS	C0205076	C62484	Chest Wall
C76.2	4	PT	Preferred term	Abdomen, NOS	C0000726		
C76.2	Related	RT	Related term	Abdominal wall, NOS	C0836916	C77608	Abdominal Wall
C76.2	Related	RT	Related term	Intra-abdominal site, NOS	CL018616		
C76.3	4	PT	Preferred term	Pelvis, NOS	C0030797	C12767	Pelvis
C76.3	Related	RT	Related term	Buttock, NOS	C0006497	C89806	Buttock
C76.3	Related	RT	Related term	Gluteal region, NOS	C0282082		
C76.3	Related	RT	Related term	Groin, NOS	C0018246	C12726	Inguinal Region
C76.3	Related	RT	Related term	Inguinal region, NOS	C0018246	C12726	Inguinal Region
C76.3	Related	RT	Related term	Ischiorectal fossa	C0225295	C103455	Ischiorectal Fossa
C76.3	Related	RT	Related term	Pelvic wall, NOS	C0230284		
C76.3	Related	RT	Related term	Perineum, NOS	C0031066	C33301	Perineum
C76.3	Related	RT	Related term	Perirectal region, NOS	C0230290		
C76.3	Related	RT	Related term	Presacral region, NOS	C0230118		
C76.3	Related	RT	Related term	Rectovaginal septum	C0230285		
C76.3	Related	RT	Related term	Rectovesical septum	C0230286		
C76.3	Related	RT	Related term	Sacrococcygeal region, NOS	C0036035		
C76.4	4	PT	Preferred term	Upper limb, NOS	C1140618	C12671	Upper Extremity
C76.4	Related	RT	Related term	Antecubital space, NOS	C0230355	C111032	Antecubital Region
C76.4	Related	RT	Related term	Arm, NOS	C1140618	C12671	Upper Extremity
C76.4	Related	RT	Related term	Elbow, NOS	C0013769		
C76.4	Related	RT	Related term	Finger, NOS	C0016129	C32608	Finger
C76.4	Related	RT	Related term	Forearm, NOS	C0016536	C32628	Forearm
C76.4	Related	RT	Related term	Hand, NOS	C0018563	C32712	Hand
C76.4	Related	RT	Related term	Shoulder, NOS	C0037004	C25203	Shoulder
C76.4	Related	RT	Related term	Thumb, NOS	C0040067	C52834	Hand Digit 1
C76.4	Related	RT	Related term	Wrist, NOS	C0043262	C111033	Carpal Region
C76.5	4	PT	Preferred term	Lower limb, NOS	C0023216	C12742	Lower Extremity
C76.5	Related	RT	Related term	Ankle, NOS	C0003086		
C76.5	Related	RT	Related term	Calf, NOS	C0230445	C93027	Calf
C76.5	Related	RT	Related term	Foot, NOS	C0016504	C32622	Foot
C76.5	Related	RT	Related term	Heel, NOS	C0018870		
C76.5	Related	RT	Related term	Hip, NOS	C0019552	C64193	Hip
C76.5	Related	RT	Related term	Knee, NOS	C0022742		
C76.5	Related	RT	Related term	Leg, NOS	C0023216	C12742	Lower Extremity
C76.5	Related	RT	Related term	Popliteal space, NOS	CL018618		
C76.5	Related	RT	Related term	Thigh, NOS	C0039866	C33763	Thigh
C76.5	Related	RT	Related term	Toe, NOS	C0040357	C33788	Toe
C76.7	4	PT	Preferred term	Other ill-defined sites	CL018612		
C76.7	Related	RT	Related term	Back, NOS	C0004600	C13062	Back
C76.7	Related	RT	Related term	Flank, NOS	C0230171	C93028	Flank
C76.7	Related	RT	Related term	Trunk, NOS	C0460005	C33816	Trunk
C76.8	4	PT	Preferred term	Overlapping lesion of ill-defined sites	CL018621		
C77	3	HT	Hierarchical term	LYMPH NODES	C0024204	C12745	Lymph Node
C77.0	4	PT	Preferred term	Lymph nodes of head, face and neck	C1185605	C12358	Head and Neck Lymph Node
C77.0	Related	RT	Related term	Auricular lymph node	CL018623		
C77.0	Related	RT	Related term	Cervical lymph node	C0588054	C32298	Cervical Lymph Node
C77.0	Related	RT	Related term	Facial lymph node	C0229719		
C77.0	Related	RT	Related term	Jugular lymph node	C0229731		
C77.0	Related	RT	Related term	Mandibular lymph node	C0229724		
C77.0	Related	RT	Related term	Occipital lymph node	C0229711	C98188	Occipital Lymph Node
C77.0	Related	RT	Related term	Parotid lymph node	C0229715	C33278	Parotid Gland Lymph Node
C77.0	Related	RT	Related term	Preauricular lymph node	C0229713	C103429	Preauricular Lymph Node
C77.0	Related	RT	Related term	Prelaryngeal lymph node	C0229740		
C77.0	Related	RT	Related term	Pretracheal lymph node	C0229742		
C77.0	Related	RT	Related term	Retropharyngeal lymph node	C0229737	C77649	Retropharyngeal Lymph Node
C77.0	Related	RT	Related term	Scalene lymph node	C0229744	C89780	Scalene Lymph Node
C77.0	Related	RT	Related term	Sublingual lymph node	C2985100	C92434	Sublingual Lymph Node
C77.0	Related	RT	Related term	Submandibular lymph node	C0229722	C77650	Submandibular Lymph Node
C77.0	Related	RT	Related term	Submaxillary lymph node	C0229725		
C77.0	Related	RT	Related term	Submental lymph node	C0229723		
C77.0	Related	RT	Related term	Supraclavicular lymph node	C0229730	C12903	Supraclavicular Lymph Node
C77.1	4	PT	Preferred term	Intrathoracic lymph nodes	C1517562	C12359	Intrathoracic Lymph Node
C77.1	Related	RT	Related term	Bronchial lymph node	C1305372	C32232	Bronchial Lymph Node
C77.1	Related	RT	Related term	Bronchopulmonary lymph node	C1305372	C32232	Bronchial Lymph Node
C77.1	Related	RT	Related term	Diaphragmatic lymph node	C0229762	C132391	Diaphragmatic Lymph Node
C77.1	Related	RT	Related term	Esophageal lymph node	C0229760		
C77.1	Related	RT	Related term	Hilar lymph node, NOS	C1305372	C32232	Bronchial Lymph Node
C77.1	Related	RT	Related term	Innominate lymph node	C0229763		
C77.1	Related	RT	Related term	Intercostal lymph node	C0229761	C77652	Intercostal Lymph Node
C77.1	Related	RT	Related term	Mediastinal lymph node	C0588055	C33073	Mediastinal Lymph Node
C77.1	Related	RT	Related term	Parasternal lymph node	C0229755	C32853	Internal Mammary Lymph Node
C77.1	Related	RT	Related term	Pulmonary hilar lymph node	C0733936	C98187	Pulmonary Hilar Lymph Node
C77.1	Related	RT	Related term	Pulmonary lymph node, NOS	C0229749		
C77.1	Related	RT	Related term	Thoracic lymph node	C0229745	C33769	Thoracic Lymph Node
C77.1	Related	RT	Related term	Tracheal lymph node	C0229754	C103426	Paratracheal Lymph Node
C77.1	Related	RT	Related term	Tracheobronchial lymph node	C0229751	C77651	Tracheobronchial Lymph Node
C77.2	4	PT	Preferred term	Intra-abdominal lymph nodes	C0588058	C12360	Intra-Abdominal Lymph Node
C77.2	Related	RT	Related term	Abdominal lymph node	C0588058	C12360	Intra-Abdominal Lymph Node
C77.2	Related	RT	Related term	Aortic lymph node	C0229789	C77643	Paraaortic Lymph Node
C77.2	Related	RT	Related term	Celiac lymph node	C0229766	C65166	Celiac Lymph Node
C77.2	Related	RT	Related term	Colic lymph node	C0229800		
C77.2	Related	RT	Related term	Common duct lymph node	C0229801		
C77.2	Related	RT	Related term	Gastric lymph node	C1282334	C92222	Gastric Lymph Node
C77.2	Related	RT	Related term	Hepatic lymph node	C0229769	C77640	Hepatic Lymph Node
C77.2	Related	RT	Related term	Ileocolic lymph node	C0229796		
C77.2	Related	RT	Related term	Inferior mesenteric lymph node	C0229793		
C77.2	Related	RT	Related term	Intestinal lymph node	C0229791		
C77.2	Related	RT	Related term	Lumbar lymph node	C0229790	C118775	Aortocaval Lymph Node
C77.2	Related	RT	Related term	Mesenteric lymph node, NOS	C0229792	C77641	Mesenteric Lymph Node
C77.2	Related	RT	Related term	Midcolic lymph node	C0229798		
C77.2	Related	RT	Related term	Pancreatic lymph node, NOS	C0229783	C77642	Pancreatic Lymph Node
C77.2	Related	RT	Related term	Para-aortic lymph node	C0229789	C77643	Paraaortic Lymph Node
C77.2	Related	RT	Related term	Periaortic lymph node	C0229789	C77643	Paraaortic Lymph Node
C77.2	Related	RT	Related term	Peripancreatic lymph node	C0733938		
C77.2	Related	RT	Related term	Porta hepatis lymph node	CL387033	C77645	Portal Lymph Node
C77.2	Related	RT	Related term	Portal lymph node	C0229769	C77640	Hepatic Lymph Node
C77.2	Related	RT	Related term	Pyloric lymph node	C0229777		
C77.2	Related	RT	Related term	Retroperitoneal lymph node	C0229802	C98189	Retroperitoneal Lymph Node
C77.2	Related	RT	Related term	Splenic hilar lymph node	C0229782	C33600	Splenic Hilar Lymph Node
C77.2	Related	RT	Related term	Splenic lymph node, NOS	C0229782	C33600	Splenic Hilar Lymph Node
C77.2	Related	RT	Related term	Superior mesenteric lymph node	C0229767		
C77.3	4	PT	Preferred term	Lymph nodes of axilla or arm	CL018631		
C77.3	Related	RT	Related term	Axillary lymph node	C0729594	C12904	Axillary Lymph Node
C77.3	Related	RT	Related term	Brachial lymph node	C0229840	C92221	Brachial Lymph Node
C77.3	Related	RT	Related term	Cubital lymph node	C0229846		
C77.3	Related	RT	Related term	Epitrochlear lymph node	C0229847	C98182	Epitrochlear Lymph Node
C77.3	Related	RT	Related term	Infraclavicular lymph node	C0229743	C63705	Infraclavicular Lymph Node
C77.3	Related	RT	Related term	Lymph node of upper limb	C0729769		
C77.3	Related	RT	Related term	Pectoral lymph node	C0229843	C120322	Pectoral Lymph Node
C77.3	Related	RT	Related term	Subclavicular lymph node	C0229743	C63705	Infraclavicular Lymph Node
C77.3	Related	RT	Related term	Subscapular lymph node	C0588052		
C77.4	4	PT	Preferred term	Lymph nodes of inguinal region or leg	C1518054	C12362	Lymph Node of Inguinal Region or Leg
C77.4	Related	RT	Related term	Femoral lymph node	C0877794	C98183	Femoral Lymph Node
C77.4	Related	RT	Related term	Inguinal lymph node	C0729596	C32801	Inguinal Lymph Node
C77.4	Related	RT	Related term	Lymph node of Cloquet	C0229852		
C77.4	Related	RT	Related term	Lymph node of Rosenmuller	C0229852		
C77.4	Related	RT	Related term	Lymph node of groin	C0729596	C32801	Inguinal Lymph Node
C77.4	Related	RT	Related term	Lymph node of lower limb	C0729767		
C77.4	Related	RT	Related term	Popliteal lymph node	C0588057	C53146	Popliteal Lymph Node
C77.4	Related	RT	Related term	Subinguinal lymph node	C0229855		
C77.4	Related	RT	Related term	Tibial lymph node	C0229859		
C77.5	4	PT	Preferred term	Pelvic lymph nodes	CL455365	C12363	Pelvic Lymph Node
C77.5	Related	RT	Related term	Hypogastric lymph node	C0447192	C88142	Internal Iliac Lymph Node
C77.5	Related	RT	Related term	Iliac lymph node	C0229807	C32761	Iliac Lymph Node
C77.5	Related	RT	Related term	Inferior epigastric lymph node	C0458784		
C77.5	Related	RT	Related term	Intrapelvic lymph node	CL018638		
C77.5	Related	RT	Related term	Obturator lymph node	C0229822	C88141	Obturator Lymph Node
C77.5	Related	RT	Related term	Paracervical lymph node	CL018639		
C77.5	Related	RT	Related term	Parametrial lymph node	C0229828		
C77.5	Related	RT	Related term	Presymphysial lymph node	C0229830		
C77.5	Related	RT	Related term	Sacral lymph node	C0229827	C77647	Sacral Lymph Node
C77.8	4	PT	Preferred term	Lymph nodes of multiple regions	CL018640		
C77.9	4	PT	Preferred term	Lymph node, NOS	C0024204	C12745	Lymph Node
C80	3	HT	Hierarchical term	UNKNOWN PRIMARY SITE	CL497885		
C80.9	4	PT	Preferred term	Unknown primary site	CL497885		
